Region,Inkomst,Skattesats,H. studerande,Medelålder,Lgh i flerbostadshus,Inflyttade,Utflyttade,Folkmängd
0484 Eskilstuna,186200,31.7,3083,41,28932,3739,3175,90694
0486 Strängnäs,214400,30,595,40.6,6636,1571,1395,30212
0488 Trosa,225200,30.4,161,40,1390,564,521,10565
0509 Ödeshög,169100,30.75,83,42.8,671,246,256,5528
0512 Ydre,172800,30.5,65,43.8,259,168,194,3943
0513 Kinda,175700,31,172,42.6,1478,384,375,9981
0560 Boxholm,180200,31,71,42.6,992,277,245,5308
0561 Åtvidaberg,187600,30.75,133,42.2,1903,452,483,11818
0562 Finspång,192900,31.15,371,42.9,5178,675,766,21052
0563 Valdemarsvik,174000,31,121,44.2,1520,450,424,8195
0580 Linköping,202400,30.25,11048,39.2,44492,7320,6505,136231
0581 Norrköping,188600,31.3,4470,40.5,40384,4789,4123,123971
0582 Söderköping,193200,30.85,238,41,2145,774,722,14082
0583 Motala,189200,30.75,718,41.5,9711,1425,1408,42015
0584 Vadstena,192300,31.1,122,44.1,1628,333,354,7582
0586 Mjölby,185500,31,516,41.4,5907,1144,1027,25191
0604 Aneby,178600,31,91,41.1,855,421,350,6666
0617 Gnosjö,207500,30.78,115,38.5,1305,341,439,9926
0642 Mullsjö,188300,30.85,138,39.6,560,424,451,7129
0643 Habo,203100,29.68,187,38,663,427,506,9568
0662 Gislaved,201400,30.25,372,39.5,4173,1097,1180,29956
0665 Vaggeryd,191600,30,195,40.4,1683,548,533,12656
0680 Jönköping,197200,30.75,5255,40.2,32427,4971,4309,119340
0682 Nässjö,184300,30.85,568,42.1,6896,1188,1132,29337
0683 Värnamo,201000,30.75,479,40.8,5589,1214,1136,32350
0684 Sävsjö,173900,31.25,192,42,1492,453,413,10968
0685 Vetlanda,183200,30.85,451,42.2,4412,871,819,26398
0686 Eksjö,187200,31.57,328,42.9,3473,772,809,16656
0687 Tranås,181400,31.22,292,42.5,4928,749,735,17709
0760 Uppvidinge,178500,31.5,128,43.4,1288,394,372,9553
0761 Lessebo,186000,31,139,42.2,1084,437,425,8227
0763 Tingsryd,172000,31.25,235,44.7,1555,476,559,13013
0764 Alvesta,185800,31,418,41.6,2539,904,915,18879
0765 Älmhult,193000,30.39,286,41.9,2343,657,641,15437
0767 Markaryd,176800,30.79,109,43.7,1512,412,387,9594
0780 Växjö,196800,30.75,5554,39.7,19614,4188,3592,75848
0781 Ljungby,189200,30.75,504,42,4643,810,819,26897
0821 Högsby,165900,32.13,97,43.6,583,403,310,6348
0834 Torsås,170300,32.05,133,44.1,567,299,320,7231
0840 Mörbylånga,185200,32.03,334,42.5,857,739,664,13481
0860 Hultsfred,172900,32.53,316,43.9,2586,745,800,14739
0861 Mönsterås,187100,32.03,308,42.5,1775,586,504,13256
0862 Emmaboda,185800,31.83,223,44,1189,369,346,9659
0880 Kalmar,191400,32.03,4342,40.5,17073,3299,2981,60415
0881 Nybro,178500,31.95,468,43.3,3869,966,800,19968
0882 Oskarshamn,197900,31.38,563,42.4,6608,983,831,26253
0883 Västervik,182000,31.78,620,43.7,8702,1322,1224,36768
0884 Vimmerby,179800,32.08,248,42.2,2643,556,524,15621
0885 Borgholm,162200,32.2,246,45.5,1047,543,454,11147
0980 Gotland,173600,32.75,1663,41.5,9137,2057,1810,57535
1060 Olofström,191800,31.65,209,43.4,2595,470,547,13541
1080 Karlskrona,194400,31.9,2161,41.5,14983,2213,1981,60857
1081 Ronneby,182000,32,1103,42.7,5247,1062,1166,28287
1082 Karlshamn,190800,32.6,868,42.9,6904,1180,1086,30779
1083 Sölvesborg,186900,32.66,309,42.9,2085,681,575,16425
1214 Svalöv,183700,30.38,249,39.9,1186,887,770,12833
1230 Staffanstorp,228400,29.88,613,38.4,2312,1161,1124,20238
1231 Burlöv,193900,30.48,479,39.9,3972,1076,1174,15257
1233 Vellinge,252600,29.62,754,40.2,2004,1635,1571,31300
1256 Östra Göinge,182000,31,261,41.3,1930,613,648,14047
1257 Örkelljunga,175600,29.15,111,42.1,1180,565,484,9483
1260 Bjuv,183500,30.88,155,40.1,1634,910,785,13810
1261 Kävlinge,219100,28.9,640,38.6,2502,1425,1221,25539
1262 Lomma,254100,29.63,657,40.8,2040,961,877,18311
1263 Svedala,213900,30.38,420,38.3,1734,978,948,18269
1264 Skurup,186100,30.5,213,40.6,1294,944,767,14099
1265 Sjöbo,174100,30.31,287,41.6,1428,1153,1002,17199
1266 Hörby,173300,30.17,271,41.8,1591,802,675,14051
1267 Höör,187500,31.22,356,40.5,1380,927,838,14278
1270 Tomelilla,168500,31,207,43,1504,789,662,12515
1272 Bromölla,192500,32.15,205,41.8,1394,461,477,11994
1273 Osby,182400,31.65,211,42.9,2001,538,442,12707
1275 Perstorp,187100,30.95,113,41.4,1573,442,408,6805
1276 Klippan,178000,30.4,230,41.9,2819,1125,853,15963
1277 Åstorp,182500,30.68,167,39.3,2113,1107,969,13326
1278 Båstad,192300,30.32,229,45.1,1452,793,671,14088
1280 Malmö,179800,31.23,13136,40.3,113751,15388,14076,267171
1281 Lund,202900,30.88,14536,37.8,30510,7556,7382,100995
1282 Landskrona,178700,30.63,851,41.8,12195,2258,2024,38658
1283 Helsingborg,197800,30.1,3279,41.2,39187,5985,5208,120154
1284 Höganäs,212300,30.12,408,43.2,2759,1249,1000,23003
1285 Eslöv,187300,30.13,733,39.8,5277,1732,1363,29400
1286 Ystad,188300,30.25,495,44,6185,1420,1062,26655
1287 Trelleborg,188000,30.75,711,41.5,8119,1767,1402,39110
1290 Kristianstad,188200,31.25,2998,41.1,15454,3083,2731,75294
1291 Simrishamn,177000,30.9,344,45.6,2946,968,745,19499
1292 Ängelholm,197400,29.43,789,41.9,7501,1853,1651,37859
1293 Hässleholm,180000,31,1071,42.1,8478,1823,1490,48787
1315 Hylte,183300,30.25,145,41.6,1159,484,476,10377
1380 Halmstad,188600,29.75,4411,40.8,21507,4123,3354,87372
1381 Laholm,176800,29.25,372,42.1,1979,1026,802,22883
1382 Falkenberg,179500,30.2,664,41.7,5602,1420,1185,39145
1383 Varberg,188400,30.25,1178,41.3,10615,1820,1383,53892
1384 Kungsbacka,238000,30.55,1339,38.7,6329,3063,2311,67653
1401 Härryda,235200,31.4,748,37.5,3098,1757,1538,31208
1402 Partille,229200,30.99,924,38.5,6739,1864,1885,33192
1407 Öckerö,214000,30.44,237,40.2,320,464,381,12081
1415 Stenungsund,217700,32.57,460,38.5,3070,1428,995,22291
1419 Tjörn,211500,31.09,309,41.6,713,695,616,14891
1421 Orust,193100,31.64,292,42.6,1060,804,718,15160
1427 Sotenäs,189100,31.99,148,45.2,1047,428,444,9359
1430 Munkedal,174500,33.01,178,42.6,1169,549,536,10405
1435 Tanum,174700,31.87,215,43.6,1362,682,522,12288
1438 Dals-Ed,172000,33.04,53,42.1,591,217,248,5014
1439 Färgelanda,179600,31.94,103,42.3,464,288,336,6841
1440 Ale,206100,32.25,558,38.6,4018,1284,1176,25993
1441 Lerum,231900,31.14,802,38.2,3016,1773,1540,35890
1442 Vårgårda,190700,31.74,212,39.6,1218,506,492,10692
1443 Bollebygd,211700,31.74,171,39.7,677,476,438,7891
1444 Grästorp,183400,31.29,125,41.9,475,272,278,5835
1445 Essunga,175300,30.54,89,42.5,414,222,237,5736
1446 Karlsborg,180800,31.75,111,44.7,1283,280,277,6923
1447 Gullspång,171400,33.17,81,44.1,833,352,359,5726
1452 Tranemo,188800,31,248,41.8,1294,411,477,11887
1460 Bengtsfors,176600,32.79,195,45,1627,412,433,10436
1461 Mellerud,169800,32.74,137,43.9,1294,461,433,9792
1462 Lilla Edet,192200,33.05,233,40.1,1563,709,744,12983
1463 Mark,184700,31.89,662,41.4,4174,1243,1030,33218
1465 Svenljunga,177400,31.45,154,42.4,879,455,488,10445
1466 Herrljunga,180700,31.89,191,41.5,946,397,435,9440
1470 Vara,173200,30.54,255,42.6,1556,624,599,15995
1471 Götene,190300,31.29,211,41.4,1436,604,589,12992
1472 Tibro,181400,30.59,183,41.9,1926,484,455,10640
1473 Töreboda,167600,31.19,143,42.6,1395,462,446,9412
1480 Göteborg,203300,31.8,29556,39.3,191118,25641,23873,478055
1481 Mölndal,226500,31.39,2131,38.7,13820,3686,3397,57523
1482 Kungälv,217800,32.14,769,39.8,6068,1566,1465,38154
1484 Lysekil,190000,32.74,309,43.9,3067,731,655,14798
1485 Uddevalla,190500,32.39,1363,41.5,13615,2175,1931,49871
1486 Strömstad,183200,31.59,149,42.8,2335,577,557,11233
1487 Vänersborg,199900,32.39,1116,41.1,7865,1500,1409,37101
1488 Trollhättan,204300,31.64,1591,40.2,15266,2083,2135,52920
1489 Alingsås,202500,32.04,886,40.8,6908,1504,1254,35530
1490 Borås,192300,31.74,3962,40.9,29360,3907,3531,98505
1491 Ulricehamn,185800,31.23,546,42.1,3338,837,787,22319
1492 Åmål,182600,32.79,195,43.6,2742,549,466,12854
1493 Mariestad,186100,31.44,464,42.5,5100,1023,882,23847
1494 Lidköping,192300,30.94,812,41.2,8014,1441,1252,37125
1495 Skara,191500,31.25,444,41.1,4204,951,868,18360
1496 Skövde,194600,30.49,2822,40.1,13358,2524,2215,49741
1497 Hjo,182400,32.25,194,42.1,1450,450,399,8844
1498 Tidaholm,177800,31.25,191,42,2348,462,448,12575
1499 Falköping,180200,31.35,656,42.2,6643,1123,989,30981
1715 Kil,187700,32.9,330,40.4,1670,567,563,11891
1730 Eda,172400,32,96,43.3,1151,416,387,8662
1737 Torsby,167500,33,238,45,1763,454,439,13311
1760 Storfors,184000,32.75,63,43.9,595,251,280,4559
1761 Hammarö,223900,32.6,423,39.3,2424,745,681,14307
1762 Munkfors,176400,33,37,45.4,748,208,190,4075
1763 Forshaga,186400,32.9,232,40.5,1417,640,668,11452
1764 Grums,187300,32.9,151,42.7,1749,475,383,9379
1765 Årjäng,164300,31.75,96,43,1359,418,372,9737
1766 Sunne,173100,32.3,275,42.7,1505,562,504,13586
1780 Karlstad,194600,32.25,5964,40.7,26856,4653,4306,81343
1781 Kristinehamn,186100,33.25,545,43.6,6460,864,750,23946
1782 Filipstad,176600,32.5,164,45.1,2731,408,399,11121
1783 Hagfors,180900,32.8,176,45.7,2435,447,478,13648
1784 Arvika,177400,31.4,669,43.3,5568,946,759,26302
1785 Säffle,180400,32.15,339,43.8,3122,629,542,16244
1814 Lekeberg,188600,31.9,106,41.2,565,402,411,7040
1860 Laxå,186700,32.1,71,44.1,1395,296,369,6366
1861 Hallsberg,189500,32.1,236,41.7,3075,860,840,15589
1862 Degerfors,192500,32.1,100,43.4,2010,338,432,10181
1863 Hällefors,174900,32.1,208,45.5,2043,283,295,7712
1864 Ljusnarsberg,173400,32.1,61,45.6,1070,225,248,5415
1880 Örebro,192100,31.9,7176,39.7,41356,6179,5567,126288
1881 Kumla,197700,31.1,322,39.9,3908,1105,936,19279
1882 Askersund,185700,32.1,150,43.5,1722,600,473,11539
1883 Karlskoga,200800,32.1,446,43.5,8837,1084,1037,30532
1884 Nora,192300,32.1,258,42.5,1728,534,451,10552
1885 Lindesberg,188500,32.1,403,42.6,4258,959,893,23442
1904 Skinnskatteberg,185800,31.97,93,43.2,784,321,264,4857
1907 Surahammar,200100,32.47,145,41.7,1951,529,534,10200
1917 Heby,176500,32.27,217,41.6,1484,733,707,13711
1960 Kungsör,195100,32.12,152,41.6,1357,403,381,8235
1961 Hallstahammar,191000,31.97,251,42.5,3781,780,671,15039
1962 Norberg,188900,32.82,111,43.1,1407,360,272,5930
1980 Västerås,207500,30.77,5487,40.3,40986,5505,4684,129987
1981 Sala,182300,32.47,535,42,3951,983,892,21742
1982 Fagersta,200100,32.77,170,44,4327,550,473,12334
1983 Köping,188700,32.32,445,42.6,7656,923,918,24585
1984 Arboga,189500,32.02,274,42.8,3770,534,560,13514
2021 Vansbro,169500,32.63,130,43.8,903,222,229,7164
2023 Malung,175200,31.9,211,43.7,1432,399,386,10538
2026 Gagnef,187200,32.58,245,41.4,424,511,465,10059
2029 Leksand,186400,31.55,384,43.3,2098,777,601,15419
2031 Rättvik,172600,32.15,229,45.7,1764,470,451,10827
2034 Orsa,169500,32.15,132,43.1,1188,426,340,7053
2039 Älvdalen,167800,31.9,94,44.5,729,281,286,7570
2061 Smedjebacken,192900,32.79,204,43.9,1537,447,515,11012
2062 Mora,185800,32.77,439,42.7,2938,857,717,20093
2080 Falun,200600,31.8,2672,40.6,13106,2488,2347,55010
2081 Borlänge,192700,32.75,1957,40.8,12648,2000,2131,46919
2082 Säter,186700,32.65,290,41.7,1642,519,487,11041
2083 Hedemora,183700,32,326,43,3504,639,588,15555
2084 Avesta,193500,32.4,345,43.4,6011,802,701,22249
2085 Ludvika,190500,32.4,645,44.1,7231,1078,925,26011
2101 Ockelbo,176600,32.45,106,44.2,731,224,293,5991
2104 Hofors,192300,32.25,150,44.2,2724,409,373,10338
2121 Ovanåker,173000,32.25,186,43.7,2042,331,385,12051
2132 Nordanstig,174800,32.25,149,43.3,1229,438,473,9971
2161 Ljusdal,175900,32.75,276,44,3866,764,667,19771
2180 Gävle,198100,31.9,4356,40.8,26938,4169,3734,91701
2181 Sandviken,198200,32,832,43.1,9397,1390,1171,36817
2182 Söderhamn,184500,31.55,417,43.9,6631,757,875,26956
2183 Bollnäs,179400,31.25,491,43.6,6049,987,889,26213
2184 Hudiksvall,187300,31.5,681,42.4,8726,1357,1232,37057
2260 Ånge,178800,32.79,161,44.9,2011,430,379,10897
2262 Timrå,199800,32.34,304,41.5,3857,870,777,17854
2280 Härnösand,190700,33.04,893,43.1,6792,1260,1058,25272
2281 Sundsvall,207500,32.29,3333,41.5,27682,3445,3448,93307
2282 Kramfors,176900,32.84,288,45.5,3832,779,825,20508
2283 Sollefteå,178400,33.09,362,44.9,4048,851,737,21317
2284 Örnsköldsvik,193000,31.79,1317,42.8,10164,1462,1361,54950
2303 Ragunda,171100,33.72,90,45.4,817,224,288,5948
2305 Bräcke,172900,32.72,105,44.1,1023,334,340,7359
2309 Krokom,185000,32.67,262,41.1,1659,710,600,14088
2313 Strömsund,167400,33.22,172,45.6,2024,400,402,13267
2321 Åre,171600,32.72,242,41,1988,630,594,9692
2326 Berg,166100,33.02,89,44.5,701,287,336,7865
2361 Härjedalen,171200,32.97,124,45.5,1402,384,525,11065
2380 Östersund,195200,32.52,2599,41,20966,3079,2915,58361
2401 Nordmaling,178400,32.35,116,42.8,919,354,285,7616
2403 Bjurholm,165000,32.6,37,46.4,213,90,93,2575
2404 Vindeln,171400,32.6,97,44.5,663,204,243,5885
2409 Robertsfors,177600,32.1,143,42.7,581,296,365,7082
2417 Norsjö,174500,32.85,63,44.3,550,116,144,4478
2418 Malå,187700,32.35,37,43.6,484,92,136,3498
2421 Storuman,170100,32.1,127,44.7,933,244,290,6595
2422 Sorsele,166100,32.6,54,45.7,373,82,125,2981
2425 Dorotea,166400,32.6,31,46.3,551,128,109,3226
2460 Vännäs,185600,32.6,231,40.9,1517,415,352,8513
2462 Vilhelmina,169900,32.6,113,43,1440,211,255,7588
2463 Åsele,167300,32.6,59,46.1,656,97,165,3410
2480 Umeå,193700,32.3,12663,37.2,31387,6529,5641,107917
2481 Lycksele,183200,32.55,309,42.3,3067,484,492,12820
2482 Skellefteå,190600,32.1,1833,41.9,15891,1842,1748,71772
2505 Arvidsjaur,179500,30.75,113,44.9,1429,215,239,6948
2506 Arjeplog,174000,31.7,65,45.4,460,110,112,3259
2510 Jokkmokk,176300,31.3,161,44,885,172,271,5633
2513 Överkalix,170800,32,73,46.8,463,114,127,3993
2514 Kalix,187300,31.75,368,43.3,2782,533,565,17702
2518 Övertorneå,164200,30.95,93,45.5,582,214,223,5331
2521 Pajala,163400,31.5,111,46.9,838,175,241,7053
2523 Gällivare,197900,31.75,326,43.3,4953,553,646,19251
2560 Älvsbyn,180400,31.65,151,43,1333,313,316,8838
2580 Luleå,199300,31.2,5092,39.8,22397,3319,3289,72237
2581 Piteå,195800,31.45,1346,40.9,7909,1405,1271,40662
2582 Boden,194000,31.55,870,41.9,6740,1131,1098,28214
2583 Haparanda,166100,31.2,125,42.9,2016,612,552,10346
2584 Kiruna,205800,32.55,606,41.1,7007,748,905,23407
